 Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh
 Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Phố Hàm Long, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Đường Bình Chuẩn 2, Phường Bình Chuẩn, Thị xã Thuận An, Bình Dương
 Phố An Trạch, Phường Cát Linh, Quận Đống Đa, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Đường Số 8, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Văn Luông, Phường 10, Quận 6, Hồ Chí Minh
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Phố Nguyễn Trường Tộ, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội
 Đường Cầu Giấy, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường DH501, Xã An Bình, Huyện Phú Giáo, Bình Dương
 Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh
 Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Hồ Chí Minh
 Đường Đền Lừ, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Đường số 18, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Phố Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội
 Đường DH501, Xã An Bình, Huyện Phú Giáo, Bình Dương
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Đường Lê Văn Thọ, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Phạm Huy Thông, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường ĐT 741, Xã Thuận Lợi, Huyện Đồng Phú, Bình Phước
 Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Trần Hưng Đạo, Phường 7, Quận 5, Hồ Chí Minh
 Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Phố Hàng Bồ, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội
 Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng
 Đường Trường Chinh, Phường Phương Mai, Quận Thanh Xuân, Hà Nội
 Đường Bàu Mạc 2, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
 Đường Lê Hiến Mai, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Phố Chùa Bộc, Phường Khương Thượng, Quận Đống Đa, Hà Nội
 Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội
 Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Lê Đại Hành, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội
 Đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Xã Kim Nỗ, Huyện Đông Anh, Hà Nội
 Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận 9, Hồ Chí Minh
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phố Tương Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội
 Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội
 Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội
 Phố Lò Đúc, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội
 Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh
 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Khoái, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội
 Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Xiển, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội
 Đường Hồng Hà, Phường Chương Dương Độ, Quận Hoàn Kiếm, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Phố Chùa Hà, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Xã Kim Nỗ, Huyện Đông Anh, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Âu Cơ, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Xô Viết Nghệ Tĩnh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng
 Phố Huỳnh Tấn Phát, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Đường Đường số 23B, Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Đường Nam Đồng, Phường Nam Đồng, Quận Đống Đa, Hà Nội
 Phố Hàng Cá, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội
 Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội
 Đường Thái Thị Nhạn, Phường 10, Quận Tân Bình, Hồ Chí Minh
 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Phố Hoa Bằng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Phố Tràng Thi, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Phố Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội
 Đường Số 7, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Cổ Nhuế, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội
 Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Phố Tràng Thi, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Phố Nguyễn Đình Hoàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Nguyễn Trường Tộ, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Bạch Đằng, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Đường Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng
 Phố Mai Hắc Đế, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Xã Thanh Ninh, Huyện Phú Bình, Thái Nguyên
 Đường Nguyễn Oanh, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Đường Đường số 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Huỳnh Thiên Lộc, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh
 Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội
 Đường Hồ Thị Kỷ, Phường 1, Quận 10, Hồ Chí Minh
 Đường Lê Đức Thọ, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Cống Lở, Phường 15, Quận Tân Bình, Hồ Chí Minh
 Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh
 Tỉnh lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh
 Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Số 5, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Lê Văn Thọ, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội
 Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Phố Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội
 Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Thượng Hiền, Phường 5, Quận 3, Hồ Chí Minh
 Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Phố Đông Tác, Phường Phương Mai, Quận Đống Đa, Hà Nội
 Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh
 Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh
 Đường Quốc Lộ 3, Xã Nguyên Khê, Huyện Đông Anh, Hà Nội
 Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Hồ Chí Minh
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Xã Kim Nỗ, Huyện Đông Anh, Hà Nội
 Đường Thiên Biều, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Phố Tống Duy Tân, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Thái Bình, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Phố Trần Đại Nghĩa, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phường Việt Hưng, Quận Long Biên, Hà Nội
 Đường Nguyễn Công Hoan, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Bạch Đằng, Phường 4, Quận Tân Bình, Hồ Chí Minh
 Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh
 Đường Thống Nhất, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh
 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Số 4, Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh
 Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Hồng Hà, Phường 2, Quận Tân Bình, Hồ Chí Minh
 Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Quận Tây Hồ, Hà Nội
 Đường Số 79, Phường Tân Quy, Quận 7, Hồ Chí Minh
 Đường Lê Văn Quới, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh
 Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội
 Phố Lê Thanh Nghị, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội
 Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội
 Đường Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội
 Đường Tân Hiệp 17, Thị trấn Hóc Môn, Huyện Hóc Môn, Hồ Chí Minh
 Đường Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Đường Tên Lửa, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Phố Nguyễn Hữu Huân, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Tỉnh lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh
 Phố Hàng Muối, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Đường Hùng Vương, Thị trấn Gia Ray, Huyện Xuân Lộc, Đồng Nai
 Đường Vĩnh Hồ, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội
 Đường Long Hưng, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội
 Đường Lê Duẩn, Phường Phương Liên, Quận Đống Đa, Hà Nội
 Đường DT 768, Xã Thiện Tân, Huyện Vĩnh Cửu, Đồng Nai
 Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh
 Đường Nguyễn Thượng Hiền, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Quốc lộ 32, Xã Di Trạch, Huyện Hoài Đức, Hà Nội
 Phố Chợ Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Hà Nội
 Đường Lý Thường Kiệt, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Quốc lộ 1A, Xã Xuân Hưng, Huyện Xuân Lộc, Đồng Nai
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Long Hưng, Xã Kim Chung, Huyện Hoài Đức, Hà Nội
 Đường D6, Xã Đông Hòa, Huyện Trảng Bom, Đồng Nai
 Đường Trảng Bom - An Viễn, Xã An Viễn, Huyện Trảng Bom, Đồng Nai
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Phố Vũ Tông Phan, Phường Khương Hạ, Quận Thanh Xuân, Hà Nội
 Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Hoàng Quốc Việt, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh
 Phố Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Trần Khánh Dư, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội
 Phố Trần Quang Diệu, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Đường số 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Phố Tô Vĩnh Diện, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường Đồng Khởi, Phường Tân Phong, Thành phố Biên Hoà, Đồng Nai
 Đường N4, Xã Thiện Tân, Huyện Vĩnh Cửu, Đồng Nai
 Phố Lê Ngọc Hân, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội
 Đường Quốc lộ 6, Xã Dân Hòa, Huyện Kỳ Sơn, Hòa Bình
 Đường Tôn Đức Thắng, Xã Phước Thiền, Huyện Nhơn Trạch, Đồng Nai
 Đường Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội
 Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội
 Đường Số 8, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Yên Lạc, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội
 Đường Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Hồ Chí Minh
 Đường Lương Khánh Thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội
 Đường Bắc Thăng Long-Nội Bài, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Phố Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội
 Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Quốc lộ 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Phan Trung, Phường Tân Tiến, Thành phố Biên Hoà, Đồng Nai
 Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Quốc lộ 51, Phường Long Bình Tân, Thành phố Biên Hoà, Đồng Nai
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Kim Mã, Phường Liễu Giai, Quận Ba Đình, Hà Nội
 Đường Ngô Quyền, Phường An Hòa, Thành phố Biên Hoà, Đồng Nai
 Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội
 Quốc lộ 51, Xã Phước Tân, Thành phố Biên Hoà, Đồng Nai
 Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội
 Đường Tam Trinh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội
 Đường Hồ Ba Mẫu, Phường Phương Liên, Quận Đống Đa, Hà Nội
 Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Phố Đông Các, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Phố Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Đường Đại Cồ Việt, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội
 Đường ĐT767, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Phố Hoàng Văn Thái, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội
 Đường Đồng Khởi, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Đồng Khởi, Phường Tân Hiệp, Thành phố Biên Hoà, Đồng Nai
 Phố Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội
 Quốc lộ 51, Phường Tam Phước, Thành phố Biên Hoà, Đồng Nai
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Phùng Hưng, Xã An Phước, Huyện Long Thành, Đồng Nai
 Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh
 Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh
 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Thanh Sơn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh
 Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Trần Kế Xương, Phường 7, Quận Phú Nhuận, Hồ Chí Minh
 Phố Lý Nam Đế, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội
 Đường Lê Thị Vân, Phường An Bình, Thành phố Biên Hoà, Đồng Nai
 Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh
 Đường Bạch Đằng, Phường 4, Quận Tân Bình, Hồ Chí Minh
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Văn Nội, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội
 Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh
 Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội
 Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Xã Thiện Tân, Huyện Vĩnh Cửu, Đồng Nai
 Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Tuyển, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh
 Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội
 Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội
 Phố Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội
 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Đồng Lầu, Xã Kim Chung, Huyện Hoài Đức, Hà Nội
 Đường Bàu Cát 2, Phường 12, Quận Tân Bình, Hồ Chí Minh
 Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh
 Xã Kỳ Nam, Thị xã Kỳ Anh, Hà Tĩnh
 Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
 Đường Nguyễn Tri Phương, Phường 3, Quận 10, Hồ Chí Minh
 Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh
 Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Phố Yên Hoa, Phường Yên Phụ, Quận Tây Hồ, Hà Nội
 Đường Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, Hà Nội
 Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội
 Đường Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội
 Đường Tứ Liên, Phường Tứ Liên, Quận Tây Hồ, Hà Nội
 Phố Cù Chính Lan, Phường Khương Mai, Quận Thanh Xuân, Hà Nội
 Đường Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội
 Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội
 Đường Đê La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
